iter	Logloss
0	0.6834207754
1	0.6734121959
2	0.6639874507
3	0.6553979395
4	0.647332614
5	0.6394532421
6	0.6325606224
7	0.6248883464
8	0.6180125534
9	0.612269424
10	0.6070020052
11	0.6017010741
12	0.596557053
13	0.5920166823
14	0.5869954463
15	0.5825555967
16	0.5780425001
17	0.5740386843
18	0.5701136613
19	0.5667281949
20	0.5628331114
21	0.5593161096
22	0.5556599392
23	0.5526232074
24	0.5493301237
25	0.546341236
26	0.543345578
27	0.5403455671
28	0.5375010447
29	0.5346684336
30	0.532153092
31	0.5295975344
32	0.5270643434
33	0.5247333051
34	0.5224926743
35	0.5202110785
36	0.5179220484
37	0.5155891565
38	0.5134942133
39	0.5115083458
40	0.5092715627
41	0.5073465694
42	0.5054719107
43	0.5035949652
44	0.5015996807
45	0.4998459335
46	0.4980768947
47	0.4964202639
48	0.4945406648
